ID,Grupo,UM,ES,LV
1,2,27,0,3
2,2,2,2,6
3,2,30,16,9
4,2,12,14,4
5,2,2,3,3
6,2,13,9,7
7,2,14,13,0
8,2,1,6,3
9,2,15,16,7
10,2,6,2,0
11,2,2,4,0
12,2,21,15,8
13,2,25,2,9
14,2,27,13,4
15,2,11,11,7
16,2,32,19,5
17,2,31,18,5
18,2,16,14,9
19,2,21,12,5
20,2,21,12,9
21,2,6,6,4
22,2,28,22,7
23,2,36,21,9
24,2,3,5,4
25,2,0,6,7
26,2,16,10,2
27,2,7,12,4
28,2,36,11,7
29,2,3,2,0
30,2,14,5,7
31,2,31,7,9
32,2,39,23,9
33,2,33,17,9
34,2,0,0,0
35,2,31,14,7
36,2,3,9,6
37,2,9,8,2
38,2,22,10,5
39,2,14,1,5
40,2,40,5,5
41,2,15,5,5
42,2,5,4,3
43,2,17,2,9
44,2,20,14,9
45,2,21,9,6
46,2,3,7,4
47,2,16,1,0
48,2,18,12,4
49,2,0,0,0
50,2,7,7,6
51,2,19,21,8
52,2,30,16,8
53,2,17,13,6
54,2,12,16,6
55,2,15,3,6
56,2,13,14,7
57,2,0,0,0
58,2,20,6,2
59,2,4,0,2
60,2,34,16,7
61,2,6,19,6
62,2,17,5,5
63,2,29,16,7
64,2,32,20,8
65,2,37,22,9
66,2,25,19,8
67,2,33,14,5
68,2,7,17,4
69,2,16,18,2
70,2,40,4,3
71,2,11,11,6
72,2,38,11,8
73,2,23,12,7
74,2,14,3,3
75,2,10,6,4
76,2,22,19,5
77,2,29,16,6
78,2,25,17,6
79,2,18,3,2
80,2,19,22,8
81,2,0,2,2
82,2,24,14,6
83,2,19,5,7
84,2,33,14,7
85,2,26,12,8
86,2,40,20,9
87,2,30,13,8
88,2,22,20,7
89,2,17,9,6
90,2,30,17,9
91,2,22,11,3
